,State,City,Population,Violent Crime,Murder,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Total
864,Massachusetts,Peabody,52113,232.2,0,21.1,23.0,188.1,2114.6,297.4,1713.6,103.6,4672.5
865,Pennsylvania,Penn Hills,42488,308.3,11.8,14.1,94.1,188.3,1979.4,727.3,1129.7,122.4,4549.5
866,Florida,Pensacola,52909,894.0,13.2,56.7,168.2,655.8,5730.6,1343.8,4160.0,226.8,13179.199999999999
867,New Jersey,Perth Amboy,51345,453.8,1.9,17.5,185.0,249.3,2376.1,745.9,1384.8,245.4,5640.299999999999
868,California,Petaluma,58995,283.1,1.7,42.4,49.2,189.8,1393.3,252.6,1054.3,86.4,3308.7000000000003
869,Texas,Pflugerville,49483,123.3,2,18.2,12.1,90.9,1620.8,282.9,1287.3,50.5,3467.8
870,Arkansas,Pine Bluff,48522,1288.1,28.9,65.9,278.2,915.0,6825.8,2316.5,4138.3,371.0,16132.900000000001
871,Florida,Pinellas Park,49821,457.6,10,26.1,96.3,325.2,5509.7,945.4,4311.4,252.9,11898.499999999998
872,New Jersey,Piscataway Township,56593,113.1,0,1.8,37.1,74.2,929.4,235.0,646.7,47.7,2083.2
873,Massachusetts,Pittsfield,44868,425.7,0,75.8,84.7,265.2,2598.7,829.1,1673.8,95.8,5973.0
874,California,Placentia,51778,206.7,1.9,7.7,56.0,141.0,1749.8,353.4,1210.9,185.4,3903.2000000000003
875,New Jersey,Plainfield,50332,711.3,11.9,27.8,327.8,343.7,2870.9,1045.1,1625.2,200.7,7124.699999999999
876,Idaho,Pocatello,55182,255.5,1.8,18.1,39.9,195.7,2721.9,474.8,2160.1,87.0,5934.9
877,Texas,Port Arthur,54745,628.4,7.3,34.7,221.0,365.3,4394.9,1560.0,2608.5,226.5,10004.599999999999
878,Florida,Port Orange,57300,108.2,3.5,1.7,20.9,82.0,2493.9,525.3,1856.9,111.7,5198.900000000001
879,Michigan,Portage,46658,162.9,0,49.3,32.1,81.4,3521.4,394.4,3039.1,87.9,7319.199999999999
